EventID,CourseID,Title,EventType,EventOpen,EventClose
317077,12472,Quiz2.2 -R Language - 1 July opens,open,2026-07-01T04:30:00.000Z,2026-07-02T05:02:00.000Z
309736,431,assignment การพัฒนาอย่างยั่งยืน (ส่งภายในวันที่ 21/07/69) is due,due,2026-07-13T17:00:00.000Z,2026-07-21T16:59:00.000Z
